GP,GS,MIN,ASST,SHOTS,SOG,G
24,24,2079,0,7,2,1
23,14,1373,1,18,7,1
22,9,932,0,12,6,1
25,18,1488,3,28,14,1
16,13,1205,3,17,8,1
35,35,3093,0,5,1,1
21,13,1104,4,24,12,1
31,23,2073,3,12,5,1
11,8,662,1,14,10,1
15,15,1293,0,6,3,1
38,38,3420,1,25,8,1
32,32,2880,1,13,7,1
18,11,966,0,10,5,1
30,27,2262,1,17,3,1
25,19,1601,0,18,10,1
15,3,374,1,3,1,1
30,28,2350,1,13,4,1
23,19,1646,1,3,2,1
16,1,226,1,11,2,1
26,20,1818,0,12,3,1
18,18,1448,2,5,3,1
18,18,1584,1,9,3,1
22,15,1260,0,14,7,1
17,5,450,2,7,1,1
26,19,1753,5,9,4,1
22,7,850,5,10,4,1
16,10,936,0,1,1,1
17,11,1004,0,5,2,1
15,12,992,1,5,2,1
15,13,1159,0,5,2,1
18,17,1544,0,18,3,1
6,1,122,0,5,2,1
13,4,473,0,3,1,1
14,12,949,1,4,2,1
14,11,946,0,12,3,1
9,3,287,0,6,3,1
13,11,919,4,14,7,1
9,8,511,0,3,2,1
